time,dev1,dev2,connection
10.0,7,13,up
30.0,2,15,up
116.0,9,25,up
176.0,9,25,up
240.0,17,28,up
250.0,7,13,up
311.0,2,15,up
360.0,17,28,up
391.0,2,15,up
420.0,1,23,up
430.0,7,13,up
451.0,2,15,up
596.0,9,25,up
636.0,19,27,up
644.0,8,16,up
686.0,9,25,up
762.0,2,15,up
846.0,7,13,up
870.0,17,28,up
887.0,23,32,up
947.0,23,32,up
951.0,7,20,up
977.0,23,32,up
981.0,13,20,up
1021.0,1,23,up
1021.0,1,32,up
1021.0,17,28,up
1030.0,7,13,up
1042.0,13,20,up
1042.0,7,20,up
1062.0,2,15,up
1068.0,1,32,up
1086.0,7,13,up
1111.0,17,28,up
1134.0,23,32,up
1152.0,2,15,up
1158.0,1,32,up
1171.0,17,28,up
1188.0,23,32,up
1231.0,1,32,up
1254.0,1,23,up
1261.0,1,32,up
1274.0,8,16,up
1278.0,23,32,up
1351.0,17,28,up
1405.0,23,32,up
1501.0,17,28,up
1506.0,7,13,up
1514.0,8,16,up
1601.0,7,13,up
1608.0,23,32,up
1666.0,17,28,up
1681.0,1,32,up
1698.0,23,32,up
1707.0,9,25,up
1741.0,1,32,up
1766.0,1,23,up
1766.0,23,32,up
1771.0,2,15,up
1815.0,8,16,up
1828.0,9,25,up
1856.0,23,32,up
1861.0,1,23,up
1861.0,1,32,up
1876.0,17,28,up
1897.0,19,27,up
1901.0,7,13,up
1957.0,19,27,up
2029.0,23,32,up
2071.0,1,32,up
2081.0,7,13,up
2089.0,23,32,up
2126.0,23,32,up
2149.0,1,32,up
2186.0,23,32,up
2239.0,1,32,up
2256.0,8,16,up
2269.0,1,32,up
2276.0,23,32,up
2282.0,1,23,up
2308.0,9,25,up
2342.0,1,23,up
2359.0,1,32,up
2359.0,23,32,up
2389.0,23,32,up
2396.0,1,23,up
2414.0,2,15,up
2437.0,19,27,up
2456.0,1,23,up
2479.0,1,32,up
2479.0,23,32,up
2509.0,1,32,up
2509.0,23,32,up
2569.0,1,32,up
2612.0,2,15,up
2641.0,1,32,up
2660.0,23,32,up
2689.0,23,32,up
2701.0,1,32,up
2706.0,7,13,up
2726.0,1,23,up
2736.0,7,20,up
2809.0,1,32,up
2809.0,23,32,up
2846.0,23,32,up
2876.0,5,26,up
2901.0,1,32,up
2936.0,23,32,up
2948.0,19,27,up
2959.0,1,32,up
2996.0,1,23,up
2996.0,23,32,up
3026.0,1,23,up
3038.0,19,27,up
3056.0,1,23,up
3121.0,1,32,up
3134.0,2,15,up
3146.0,1,23,up
3146.0,23,32,up
3152.0,1,32,up
3192.0,7,13,up
3207.0,1,23,up
3229.0,1,32,up
3229.0,23,32,up
3232.0,13,20,up
3241.0,1,23,up
3261.0,23,32,up
3282.0,13,20,up
3307.0,7,13,up
3313.0,2,15,up
3317.0,17,28,up
3338.0,8,16,up
3349.0,1,32,up
3422.0,1,23,up
3446.0,23,32,up
3458.0,8,16,up
3512.0,1,23,up
3536.0,23,32,up
3559.0,21,32,up
3566.0,1,23,up
3637.0,17,28,up
3650.0,23,32,up
3692.0,1,23,up
3692.0,1,32,up
3769.0,1,32,up
3769.0,23,32,up
3799.0,1,32,up
3896.0,1,23,up
3949.0,23,32,up
3956.0,1,23,up
3966.0,1,32,up
3968.0,12,28,up
4089.0,19,27,up
4117.0,1,23,up
4149.0,9,25,up
4154.0,2,15,up
4159.0,23,32,up
4176.0,12,17,up
4182.0,7,13,up
4184.0,2,15,up
4208.0,19,27,up
4226.0,23,32,up
4250.0,1,32,up
4269.0,9,25,up
4280.0,1,32,up
4299.0,19,27,up
4299.0,21,23,up
4332.0,7,13,up
4346.0,23,32,up
4416.0,1,23,up
4417.0,7,13,up
4469.0,9,25,up
4477.0,1,32,up
4478.0,8,16,up
4484.0,2,15,up
4496.0,1,23,up
4520.0,23,32,up
4539.0,9,25,up
4626.0,1,32,up
4656.0,1,23,up
4656.0,1,32,up
4676.0,23,32,up
4687.0,13,20,up
4747.0,7,13,up
4767.0,23,32,up
4820.0,23,32,up
4837.0,7,13,up
4839.0,9,25,up
4893.0,2,15,up
4899.0,9,25,up
5049.0,7,13,up
5067.0,1,23,up
5079.0,9,25,up
5097.0,23,32,up
5114.0,2,15,up
5129.0,9,25,up
5248.0,9,25,up
5307.0,23,32,up
5337.0,23,32,up
5348.0,7,13,up
5409.0,19,27,up
5467.0,13,20,up
5470.0,9,25,up
5527.0,1,23,up
5528.0,7,13,up
5691.0,23,32,up
5697.0,1,23,up
5721.0,1,32,up
5745.0,2,15,up
5767.0,1,23,up
5769.0,7,13,up
5770.0,9,25,up
5776.0,2,15,up
5828.0,7,13,up
